name,free_returns,items_sold,status,shipping,price
Beistle Thanksgiving Turkey Tom Jointed Cutout Fall Autumn Retro Vintage New 🦃,False,0,Brand New,0,1349
Fall Thanksgiving Orange Yellow BROWN CORD String Lights Decorations 50ct,False,0,Brand New,699,1799
A Charlie Brown Thanksgiving Snoopy Peanuts Waterslide Nail Art Decals,False,,Brand New,0,449
Thanksgiving Turkey Tabletop Centerpiece Decor Resin Harvest Home Decorations,False,,Brand New,0,2411
Pilgrim Thanksgiving with Turkey Glass Ornament Old World Christmas New In Box ,True,0,Brand New,376,2124
New Tee Happy Thanksgiving Day Fall Maple Leaves Thankful T-Shirt,False,0,Brand New,0,1499
Thanksgiving Tablecloth Turkey Day Decor Printed Fabric Pumpkins Autumn Harvest,False,0,Brand New,0,2890
NEW Boutique Thanksgiving Turkey Girls Tunic Leggins Outfit Set,False,,New (Other),575,1699
Thanksgiving Sticker Sheet Large *You Choose*,False,,Brand New,120,200
"Snoopy Happy Thanksgiving Flag, Garden Flag 12x18 in",False,0,Brand New,499,1599
 Thanksgiving Day Hanging Flag Banner Burlap Wall Art Decor Thanks Pumpkin,True,0,Brand New,0,1054
10/50PCS Adults Thanksgiving Day Disposable Face Mask Industrial 3Ply Ear Loop,False,,Brand New,0,859
NEW Lighted Thanksgiving Turkey Window Silhouette Decoration Decor Fall Light,False,0,Brand New,1595,2499
"Harvest Turkey Fall Thanksgiving House Flag Autumn Pumpkins Decoration 28"" x 40""",True,0,Brand New,0,1823
Vintage Turkey Thanksgiving Ambassador Stickers sealed!,False,,Brand New,0,200
"Thanksgiving Turkey Applique Patch - Fall, Autumn, Pilgrim Badge 2.5"" (Iron on)",False,,Brand New,0,300
Home Accents Fall/Thanksgiving Straw Pilgrim Squirrel Couple Fast Free Shipping,False,,Brand New,625,1000
Authentic Origami Owl Thanksgiving FALL Charms - NEW & Retired  ,False,11,New (Other),429,200
"Thanksgiving Cards and Envelopes -60 Pack Holiday Fall Greeting Card Bulk 4 x 6""",True,,Brand New,0,1599
6ft Thanksgiving Inflatable LED Lighted Turkey Family Blow up Outdoor Lawn Yard,True,219,Brand New,0,7599
,False,,,0,
5'x7' Inflatable Turkey LED Airblown Thanksgiving Outdoor Yard Decor US,False,,Brand New,0,6999
Happy Thanksgiving Turkey Women’s Long Sleeve T-Shirt,False,,Brand New,0,2399
Thanksgiving Pilgrim Costume Men's T-Shirt,False,,Brand New,0,1999
"14""x72"" Table Runner Double Sided Fall Holiday Thanksgiving Christmas Home Decor",False,,New without tags,0,899
Toland Happy Thanksgiving Chalkboard 28 x 40 Fall Turkey Harvest House Flag,True,,New without tags,0,1698
🎉NEW 💯 colorSTREET Nail Polish Current Retired Thanksgiving Christmas,False,14,Brand New,0,325
Thanksgiving Jack O Lantern Pumpkin Halloween Fall T-Shirt Tops Tee for Women,False,27,Brand New,0,799
VINTAGE THANKSGIVING TURKEY BEISTLE CUT OUT LEFT FACING,True,,Brand New,399,741
"Elegant Glittery Thanksgiving Turkey Sculpture Table Centerpiece 7-3/4""L x 7""H",False,,Brand New,0,3999
New Tee Happy Thanksgiving Day Fall Maple Leaves Thankful T-Shirt,False,,Brand New,0,1499
2 Sheets Thanksgiving Fall Stickers Papercraft Planner Supply Harvest Turkey ,False,,Brand New,0,299
Funny Thanksgiving card,False,,Brand New,0,395
Thanksgiving Silly Turkey Face Women's T-shirt Thanksgiving Shirt,False,,New (Other),399,895
 Thanksgiving Turkey Honeycomb  13 inch Table Centerpiece  NWT sealed package,True,,Brand New,0,1300
Thanksgiving Christmas Wreath Decorations Large Front Door Wreath Garland/Hanger,True,,Brand New,0,696
"Thanksgiving Cards and Envelopes -48 Pack Holiday Fall Greeting Card Bulk 4 x 6""",True,,Brand New,0,1699
"20-inch Fall Lighted Maple Tree, 24 Acorns LED Lights, Thanksgiving Table Decor",False,0,Brand New,0,1999
Thanksgiving butter margarine decorative mold holiday shaped turkey fun food,False,,Brand New,350,499
3x5 Happy Thanksgiving Flag Holiday Decoration House Banner Party Pennant New,False,,Brand New,0,777
Happy Thanksgiving Snoopy Peanuts Funny Cartoon Charlie Brown Thanksgiving Flags,False,,Brand New,699,1499
Plastic Resin Various Turkey Thanksgiving Fall Harvest STUD Earrings ,False,,New (Other),0,605
THANKSGIVING TURKEY SIGN Holiday Wall Art Door Hanger Plaque Autumn Fall Decor ,False,,Brand New,0,1445
COLORFUL TURKEY w LARGE PUMPKIN  * THANKSGIVING ORNAMENT * Vtg Img,False,0,Brand New,300,1050
PinMart's Thanksgiving Turkey Fall Enamel Lapel Pin,False,,Brand New,0,799
Set 8 Vintage Thanksgiving Placemats Scalloped 14” Round Hallmark Orange Turkey,True,,Brand New,850,1895
"Happy Thanksgiving Snoopy Peanuts Autumn House Flags, Garden Flag, Thanksfull ",False,0,Brand New,699,1499
FEPITO Happy Thanksgiving Banner Extra Large Give Thanks Banner 70In X 41 In ...,True,0,Brand New,0,1654
